description,price,rating,review_count,url
"Dell Inspiron 15.6"" HD Laptop, Intel 4205U Processor, 8GB DDR4 RAM, 1TB HDD, Online Class Ready, Webcam, WiFi, HDMI, Bluetooth, Win10 Home, Black",499,4.4 out of 5 stars,386,https://www.amazon.com/Dell-Inspiron-Laptop-Processor-Bluetooth/dp/B08HY7KWJ6/ref=sr_1_13?dchild=1&keywords=dell+laptop&qid=1619577844&sr=8-13
"2021 Dell Inspiron 15 3593 15.6"" HD Touchscreen Laptop Computer, Intel Quad-Core i7-1065G7, 12GB RAM, 512GB PCIe SSD, Intel Iris Plus Graphics, MaxxAudio, HD Webcam, Win 10 S",789,4.5 out of 5 stars,51,https://www.amazon.com/Dell-Inspiron-Touchscreen-Quad-Core-i7-1065G7/dp/B08L71B2Z8/ref=sr_1_14?dchild=1&keywords=dell+laptop&qid=1619577844&sr=8-14
"Fast Dell Latitude E5470 HD Business Laptop Notebook PC (Intel Core i5-6300U, 8GB Ram, 256GB Solid State SSD, HDMI, Camera, WiFi, SC Card Reader) Win 10 Pro (Renewed).",369,4.2 out of 5 stars,708,https://www.amazon.com/Dell-Latitude-E5470-Certified-Refurbished/dp/B07D5N1PFY/ref=sr_1_15?dchild=1&keywords=dell+laptop&qid=1619577844&sr=8-15
"2021 Flagship Dell Inspiron 15 5000 Laptop Computer 15.6"" Full HD Display 11th Gen Intel Quad-Core i7-1165G7 32GB DDR4 1TB SSD MaxxAudio Backlit Webcam HDMI WiFi USB-C Win 10",980,4.6 out of 5 stars,9,https://www.amazon.com/Dell-5593-Touchscreen-i7-10510U-MaxxAudio/dp/B08545LHN8/ref=sr_1_16?dchild=1&keywords=dell+laptop&qid=1619577844&sr=8-16
"New_Dell Inspiron 15 3000 15.6"" FHD Laptop, AMD Ryzen 5 3450U Processor, 8GB RAM, 512GB SSD, Radeon Vega 8 Graphics, HDMI, SD Card Reader, WiFi, Bluetooth, Camera, Win 10, 1-W Shoxlab Tech Support…",559,4.4 out of 5 stars,31,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02038821Q3O4PNU374JR&url=%2FNew_Dell-Inspiron-Processor-Graphics-Bluetooth%2Fdp%2FB08Z1ZG2TB%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577844%26sr%3D8-17-spons%26psc%3D1%26smid%3DA2GY4BFUD7Z7CM&qualifier=1619577844&id=759480397485219&widgetName=sp_mtf
"2021 Newest Dell Inspiron 3000 Business Laptop, 15.6 HD LED-Backlit Display, Intel Celeron Processor N4020, 8GB DDR4 RAM, 128GB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Win10 Pro, Black",469,4.3 out of 5 stars,29,https://www.amazon.com/Dell-Inspiron-Business-LED-Backlit-Processor/dp/B08X1LWZMB/ref=sr_1_18?dchild=1&keywords=dell+laptop&qid=1619577844&sr=8-18
"Dell XPS7390 13"" InfinityEdge Touchscreen Laptop, Newest 10th Gen Intel i5-10210U, 8GB RAM, 256GB SSD, Windows 10 Home",807,4.5 out of 5 stars,81,https://www.amazon.com/Dell-XPS7390-InfinityEdge-Touchscreen-i5-10210U/dp/B07ZSFXPZX/ref=sr_1_19?dchild=1&keywords=dell+laptop&qid=1619577844&sr=8-19
"Dell Latitude E7470 14in Laptop, Core i5-6300U 2.4GHz, 8GB Ram, 256GB SSD, Windows 10 Pro 64bit (Renewed)",385,4.4 out of 5 stars,443,https://www.amazon.com/Dell-Latitude-i5-6300U-Certified-Refurbished/dp/B07GCRHS5V/ref=sr_1_20?dchild=1&keywords=dell+laptop&qid=1619577844&sr=8-20
"Dell Inspiron 17 17.3"" i3793-7275SLV-PUS 10th Gen Intel Core i7-1065G7 16GB RAM 2TB HDD + 256GB SSD DVD-RW 2GB NVIDIA MX230 (1920 x 1080) Display Windows 10 Home",970,4.4 out of 5 stars,82,https://www.amazon.com/Dell-Inspiron-i3793-7275SLV-PUS-i7-1065G7-Display/dp/B081K9QZDF/ref=sr_1_21?dchild=1&keywords=dell+laptop&qid=1619577844&sr=8-21
"DELL 2021 Newest inspiron 15 3000 PC Laptop, 15.6"" HD Anti-Glare Non-Touch Display, Intel 2-Core 4205U Processor, 8GB RAM, 128GB PCIe SSD, Webcam, Bluetooth, Win 10",439,4.4 out of 5 stars,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01046963RCGER1WXMZQ&url=%2Finspiron-Anti-Glare-Non-Touch-Processor-Bluetooth%2Fdp%2FB08TPLQCF4%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577844%26sr%3D8-22-spons%26psc%3D1%26smid%3DAWC4R9IGPA4LI&qualifier=1619577844&id=759480397485219&widgetName=sp_btf
"Besign LS03 Aluminum Laptop Stand, Ergonomic Detachable Computer Stand, Riser Holder Notebook Stand Compatible with Air, Pro, Dell, HP, Lenovo More 10-15.6"" Laptops, Black",19,4.8 out of 5 stars,"4,166",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A013012019LXSTCHRYLW&url=%2FLS03-Aluminum-Ergonomic-Detachable-Compatible%2Fdp%2FB07X7RV38T%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577854%26sr%3D8-17-spons%26psc%3D1&qualifier=1619577854&id=7301598222050668&widgetName=sp_atf_next
"LG Gram 14Z90P - 14"" WUXGA (1920x1200) Ultra-Lightweight Laptop, Intel evo with 11th gen Core i5 1135G7 CPU , 8GB RAM, 256GB SSD, Alexa Built-in, 25.5 Hours Battery, Thunderbolt 4, White - 2021","1,096",4.5 out of 5 stars,74,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A10396012HP95GDSO4REL&url=%2FLG-Gram-14Z90P-Ultra-Lightweight-Built%2Fdp%2FB08SW4D29M%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577854%26sr%3D8-18-spons%26psc%3D1&qualifier=1619577854&id=7301598222050668&widgetName=sp_atf_next
