description,price,rating,review_count,url
"2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Celeron Processor N4020, 8GB DDR4 RAM, 128GB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Bluetooth, Win10 Home, Black",439,4.4 out of 5 stars,136,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A064336636W2LOTA81WOD&url=%2FDell-Inspiron-LED-Backlit-Processor-Bluetooth%2Fdp%2FB08X1D9WWJ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577570%26sr%3D8-1-spons%26psc%3D1%26smid%3DA3QR4864ATM9Z9&qualifier=1619577570&id=3613299673304895&widgetName=sp_atf
"2021 Newest Dell Inspiron 3000 Business Laptop, 15.6 HD LED-Backlit Display, Intel Celeron Processor N4020, 8GB DDR4 RAM, 128GB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Win10 Pro, Black",469,4.3 out of 5 stars,29,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02780683PK06KWQAQACI&url=%2FDell-Inspiron-Business-LED-Backlit-Processor%2Fdp%2FB08X1LWZMB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577570%26sr%3D8-2-spons%26psc%3D1%26smid%3DA3QR4864ATM9Z9&qualifier=1619577570&id=3613299673304895&widgetName=sp_atf
Dell Inspiron 3583 15” Laptop Intel Celeron – 128GB SSD – 4GB DDR4 – 1.6GHz - Intel UHD Graphics 610 - Windows 10 Home - Inspiron 15 3000 Series - New,336,4.4 out of 5 stars,119,https://www.amazon.com/Dell-Inspiron-3583-Laptop-Celeron/dp/B08HSNRFTX/ref=sr_1_3?dchild=1&keywords=dell+laptop&qid=1619577570&sr=8-3
New Genuine Inspiron 11 13 14 15 Laptop Charger 45W(watt) Slim AC Power Adapter(LA45NM140/0KXTTW/0285K) for Dell Inspiron 3000 5000 7000 Series Charger ���,23,4.5 out of 5 stars,"3,442",https://www.amazon.com/Genuine-Inspiron-Charger-Adapter-LA45NM140/dp/B07RLR5PVJ/ref=sr_1_4?dchild=1&keywords=dell+laptop&qid=1619577570&sr=8-4
"2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Celeron Processor N4020, 8GB DDR4 RAM, 128GB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Bluetooth, Win10 Home, Black",439,4.4 out of 5 stars,136,https://www.amazon.com/Dell-Inspiron-LED-Backlit-Processor-Bluetooth/dp/B08X1D9WWJ/ref=sr_1_5?dchild=1&keywords=dell+laptop&qid=1619577570&sr=8-5
Dell 45W Replacement AC Adapter for Dell,27,4.5 out of 5 stars,"5,199",https://www.amazon.com/Dell-45W-Replacement-AC-Adapter/dp/B007OYLNGA/ref=sr_1_6?dchild=1&keywords=dell+laptop&qid=1619577570&sr=8-6
"2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Pentium Silver N5030 Processor, 16GB DDR4 RAM, 256GB PCIe Solid State Drive, Online Meeting Ready, Webcam, Win10 Home, Black",529,4.3 out of 5 stars,40,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06136702M4EVBUCFX0HD&url=%2FDell-Inspiron-LED-Backlit-Display-Processor%2Fdp%2FB08X1CKDRG%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577570%26sr%3D8-7-spons%26psc%3D1%26smid%3DA3QR4864ATM9Z9&qualifier=1619577570&id=3613299673304895&widgetName=sp_mtf
"Dell USB 3.0 Ultra HD/4K Triple Display Docking Station (D3100), Black",122,4.6 out of 5 stars,"3,800",https://www.amazon.com/Dell-Display-Docking-Station-D3100/dp/B00O0M46KO/ref=sr_1_8?dchild=1&keywords=dell+laptop&qid=1619577570&sr=8-8
"Dell Gaming G3 15 3500, 15.6 inch FHD Non-Touch Laptop - Intel Core i7-10750H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 2060 6GB GDDR6, Windows 10 Home - Black (Latest Model)","1,299",4.6 out of 5 stars,249,https://www.amazon.com/Dell-G3-15-3500-i7-10750H/dp/B089HR6CQP/ref=sr_1_9?dchild=1&keywords=dell+laptop&qid=1619577570&sr=8-9
"2021 Newest Dell Inspiron 15 3000 Series 3593 Laptop, 15.6"" HD Non-Touch, 10th Gen Intel Core i3-1005G1 Processor, 8GB RAM, 1TB Hard Disk Drive, Webcam, HDMI, Wi-Fi, Bluetooth, Windows 10 Home, Black",479,4.4 out of 5 stars,175,https://www.amazon.com/Dell-Inspiron-Touchscreen-i3-1005G1-Wireless-AC/dp/B087ZR3671/ref=sr_1_10?dchild=1&keywords=dell+laptop&qid=1619577570&sr=8-10
